"Ext","Name","SizeMB","Modified","Path"
".dll","adobeusd_pcp.dll","3,47","2026-07-03","Support Files\Contents\Windows\adobeusd_pcp.dll"
".dll","AdobeOwl.dll","3,46","2026-07-03","Support Files\Contents\Windows\AdobeOwl.dll"
".dll","dvaappsupport.dll","3,44","2026-07-03","Support Files\Contents\Windows\dvaappsupport.dll"
".dll","ASMLOP230A.dll","3,36","2026-07-03","Support Files\Contents\Windows\ASMLOP230A.dll"
".aip","MCPToolkit.aip","3,27","2026-07-03","Plug-ins\Extensions\MCPToolkit.aip"
".dll","ASMUFLD230A.dll","3,1","2026-07-03","Support Files\Contents\Windows\ASMUFLD230A.dll"
".dll","icuin77.dll","3,03","2026-07-03","Support Files\Contents\Windows\icuin77.dll"
".aip","PaintStyle.aip","3,01","2026-07-03","Plug-ins\Extensions\PaintStyle.aip"
".aip","VectorEdge.aip","2,96","2026-07-03","Plug-ins\Illustrator Filters\VectorEdge.aip"
".dll","ASMSASM230A.dll","2,93","2026-07-03","Support Files\Contents\Windows\ASMSASM230A.dll"
".dll","imgproc.dll","2,92","2026-07-03","Support Files\Contents\Windows\imgproc.dll"
".dll","wrservices.dll","2,89","2026-07-03","Support Files\Contents\Windows\wrservices.dll"
".aip","AIAgenticSystem.aip","2,89","2026-07-03","Plug-ins\Extensions\AIAgenticSystem.aip"
".dll","dvaworkspace.dll","2,88","2026-07-03","Support Files\Contents\Windows\dvaworkspace.dll"
".dll","dunamis-ingest.dll","2,86","2026-07-03","Support Files\Contents\Windows\dunamis-ingest.dll"
".dll","AIUXPExtensionHostAPI.dll","2,85","2026-07-03","Support Files\Contents\Windows\AIUXPExtensionHostAPI.dll"
".dll","dvascripting.dll","2,85","2026-07-03","Support Files\Contents\Windows\dvascripting.dll"
".aip","3D.aip","2,77","2026-07-03","Plug-ins\Extensions\3D.aip"
".dll","core.dll","2,77","2026-07-03","Support Files\Contents\Windows\core.dll"
".dll","acpal.dll","2,74","2026-07-03","Support Files\Contents\Windows\acpal.dll"
".dll","dvastorage.dll","2,64","2026-07-03","Support Files\Contents\Windows\dvastorage.dll"
".dll","AITextViewModel.dll","2,64","2026-07-03","Support Files\Contents\Windows\AITextViewModel.dll"
".dll","adobeusd_usdGeom.dll","2,61","2026-07-03","Support Files\Contents\Windows\adobeusd_usdGeom.dll"
".dll","scintilla.dll","2,56","2026-07-03","Support Files\Contents\Windows\scintilla.dll"
".dll","ASMBOOL230A.dll","2,53","2026-07-03","Support Files\Contents\Windows\ASMBOOL230A.dll"
".aip","LinkPalette.aip","2,52","2026-07-03","Plug-ins\Extensions\LinkPalette.aip"
".dll","ASMSKIN230A.dll","2,51","2026-07-03","Support Files\Contents\Windows\ASMSKIN230A.dll"
".dll","ASMSWP230A.dll","2,42","2026-07-03","Support Files\Contents\Windows\ASMSWP230A.dll"
".dll","adp_core-6_1.dll","2,39","2026-07-03","Support Files\Contents\Windows\adp_core-6_1.dll"
".aip","3DLib.aip","2,36","2026-07-03","Support Files\Required\AIRobin_Plug-ins\3DLib.aip"
".dll","libGLESv2.dll","2,35","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\swiftshader\libGLESv2.dll"
".dll","dvauxpui.dll","2,35","2026-07-03","Support Files\Contents\Windows\dvauxpui.dll"
".aip","FireflyService.aip","2,28","2026-07-03","Plug-ins\Extensions\FireflyService.aip"
".dll","adobeusd_vt.dll","2,17","2026-07-03","Support Files\Contents\Windows\adobeusd_vt.dll"
".dll","VulcanControl.dll","2,07","2026-07-03","Support Files\Contents\Windows\VulcanControl.dll"
".dll","adobeusd_tf.dll","2,03","2026-07-03","Support Files\Contents\Windows\adobeusd_tf.dll"
".dll","icuuc77.dll","2,01","2026-07-03","Support Files\Contents\Windows\icuuc77.dll"
".dll","CRClient.dll","1,99","2026-07-03","Support Files\Contents\Windows\CRClient.dll"
".dll","substance_sse2_blend.dll","1,96","2026-07-03","Support Files\Contents\Windows\substance_sse2_blend.dll"
".aip","PlanetX.aip","1,96","2026-07-03","Plug-ins\Extensions\PlanetX.aip"
".aip","OnDemandModule.aip","1,93","2026-07-03","Plug-ins\Extensions\OnDemandModule.aip"
".aip","GenerativeTraceUI.aip","1,88","2026-07-03","Plug-ins\Extensions\GenerativeTraceUI.aip"
".dll","ASMIMPORT230A.dll","1,87","2026-07-03","Support Files\Contents\Windows\ASMIMPORT230A.dll"
".aip","UserInterface.aip","1,77","2026-07-03","Support Files\Required\Plug-ins\UserInterface.aip"
".aip","DeepLearning.aip","1,72","2026-07-03","Plug-ins\Extensions\DeepLearning.aip"
".aip","svgFileFormat.aip","1,71","2026-07-03","Plug-ins\Illustrator Formats\svgFileFormat.aip"
".dll","ASMSBAP230A.dll","1,7","2026-07-03","Support Files\Contents\Windows\ASMSBAP230A.dll"
".aip","TurntableUI.aip","1,68","2026-07-03","Plug-ins\Extensions\TurntableUI.aip"
".dll","git2.dll","1,67","2026-07-03","Support Files\Contents\Windows\git2.dll"
".exe","CRWindowsClientService.exe","1,66","2026-07-03","Support Files\Contents\Windows\CRWindowsClientService.exe"
".dll","ASMCSTR230A.dll","1,61","2026-07-03","Support Files\Contents\Windows\ASMCSTR230A.dll"
".dll","AIRes.dll","1,61","2026-07-03","Support Files\Contents\Windows\System\AIRes.dll"
".aip","Geometry3DUI.aip","1,6","2026-07-03","Plug-ins\Illustrator UI\Geometry3DUI.aip"
".exe","AISafeModeLauncher.exe","1,59","2026-07-03","Support Files\Contents\Windows\AISafeModeLauncher.exe"
".aip","CharParaStyles.aip","1,56","2026-07-03","Plug-ins\Extensions\CharParaStyles.aip"
".dll","ASMNPCH230A.dll","1,55","2026-07-03","Support Files\Contents\Windows\ASMNPCH230A.dll"
".dll","ae_dvascriptui.dll","1,53","2026-07-03","Support Files\Contents\Windows\ae_dvascriptui.dll"
".dll","ASMHEAL230A.dll","1,52","2026-07-03","Support Files\Contents\Windows\ASMHEAL230A.dll"
".dll","SVGExport.dll","1,47","2026-07-03","Support Files\Contents\Windows\SVGExport.dll"
".dll","acge25.dll","1,46","2026-07-03","Support Files\Contents\Windows\acge25.dll"
".dll","ASMBASE230A.dll","1,46","2026-07-03","Support Files\Contents\Windows\ASMBASE230A.dll"
".dll","Microsoft.AI.MachineLearning.dll","1,46","2026-07-03","Support Files\Contents\Windows\Microsoft.AI.MachineLearning.dll"
".dll","icucnv77.dll","1,44","2026-07-03","Support Files\Contents\Windows\icucnv77.dll"
".aip","ShapeCoreUI.aip","1,43","2026-07-03","Plug-ins\Illustrator UI\ShapeCoreUI.aip"
".dll","AdSpatialReference.dll","1,41","2026-07-03","Support Files\Contents\Windows\AdSpatialReference.dll"
".dll","dvametadataUI.dll","1,4","2026-07-03","Support Files\Contents\Windows\dvametadataUI.dll"
".dll","dvanet.dll","1,39","2026-07-03","Support Files\Contents\Windows\dvanet.dll"
".dll","drawbotagm.dll","1,38","2026-07-03","Support Files\Contents\Windows\drawbotagm.dll"
".aip","VectorEdgeUI.aip","1,38","2026-07-03","Plug-ins\Illustrator UI\VectorEdgeUI.aip"
".dll","AdobeXMPFiles.dll","1,35","2026-07-03","Support Files\Contents\Windows\AdobeXMPFiles.dll"
".dll","ASMFCT230A.dll","1,34","2026-07-03","Support Files\Contents\Windows\ASMFCT230A.dll"
".dll","ASMRBI230A.dll","1,33","2026-07-03","Support Files\Contents\Windows\ASMRBI230A.dll"
".dll","ACE.dll","1,33","2026-07-03","Support Files\Contents\Windows\ACE.dll"
".dll","dxil.dll","1,31","2026-07-03","Support Files\Contents\Windows\dxil.dll"
".exe","AIMonitor.exe","1,3","2026-07-03","Support Files\Contents\Windows\AIMonitor.exe"
".aip","ActionPalette.aip","1,27","2026-07-03","Plug-ins\Extensions\ActionPalette.aip"
".dll","AdobeXMP.dll","1,26","2026-07-03","Support Files\Contents\Windows\AdobeXMP.dll"
".aip","MaskingAiCore.aip","1,22","2026-07-03","Plug-ins\Extensions\MaskingAiCore.aip"
".dll","ASMTOPT230A.dll","1,21","2026-07-03","Support Files\Contents\Windows\ASMTOPT230A.dll"
".aip","SmartExportUI.aip","1,21","2026-07-03","Plug-ins\Illustrator UI\SmartExportUI.aip"
".dll","adobeusd_usdShade.dll","1,17","2026-07-03","Support Files\Contents\Windows\adobeusd_usdShade.dll"
".dll","dvametadata.dll","1,16","2026-07-03","Support Files\Contents\Windows\dvametadata.dll"
".aip","JSONFormat.aip","1,16","2026-07-03","Plug-ins\Illustrator Formats\JSONFormat.aip"
".aip","GenerativeTextUI.aip","1,14","2026-07-03","Plug-ins\Extensions\GenerativeTextUI.aip"
".aip","PDFFormat.aip","1,14","2026-07-03","Support Files\Required\Plug-ins\PDFFormat.aip"
".dll","boost_regex.dll","1,11","2026-07-03","Support Files\Contents\Windows\boost_regex.dll"
".aip","ControlPanel.aip","1,11","2026-07-03","Plug-ins\Extensions\ControlPanel.aip"
".dll","AdobeLinguistic.dll","1,11","2026-07-03","Support Files\Contents\Windows\AdobeLinguistic.dll"
".dll","pdfport.dll","1,06","2026-07-03","Support Files\Contents\Windows\pdfport.dll"
".dll","adobeusd_trace.dll","1,05","2026-07-03","Support Files\Contents\Windows\adobeusd_trace.dll"
".dll","ASMFREC230A.dll","1,05","2026-07-03","Support Files\Contents\Windows\ASMFREC230A.dll"
".dll","modlr25.dll","1,05","2026-07-03","Support Files\Contents\Windows\modlr25.dll"
".aip","RecolorCore.aip","1,04","2026-07-03","Plug-ins\Extensions\RecolorCore.aip"
".dll","imgcodecs.dll","1,04","2026-07-03","Support Files\Contents\Windows\imgcodecs.dll"
".aip","ConstraintsUI.aip","1,03","2026-07-03","Plug-ins\Extensions\ConstraintsUI.aip"
".aip","VectorizeUI.aip","1,03","2026-07-03","Plug-ins\Illustrator UI\VectorizeUI.aip"
".aip","AIToolBoxUI.aip","1,02","2026-07-03","Plug-ins\Illustrator UI\AIToolBoxUI.aip"
".dll","acdb25res.dll","1","2026-07-03","Support Files\Contents\Windows\en-US\acdb25res.dll"
".aip","ArtStyle.aip","0,97","2026-07-03","Plug-ins\Extensions\ArtStyle.aip"
".dll","utest.dll","0,97","2026-07-03","Support Files\Contents\Windows\utest.dll"
".aip","BeautifulStrokes.aip","0,97","2026-07-03","Plug-ins\Extensions\BeautifulStrokes.aip"
".aip","Snapomatic.aip","0,94","2026-07-03","Plug-ins\Extensions\Snapomatic.aip"
".aip","Layers.aip","0,93","2026-07-03","Plug-ins\Extensions\Layers.aip"
".aip","DimensionUI.aip","0,91","2026-07-03","Plug-ins\Extensions\DimensionUI.aip"
".dll","ExtendScript.dll","0,91","2026-07-03","Support Files\Contents\Windows\ExtendScript.dll"
".aip","CropAreaTool.aip","0,91","2026-07-03","Plug-ins\Tools\CropAreaTool.aip"
".aip","AIRobinService.aip","0,91","2026-07-03","Support Files\Required\AIRobin_Plug-ins\AIRobinService.aip"
".aip","PDFSuite.aip","0,89","2026-07-03","Support Files\Required\Plug-ins\PDFSuite.aip"
".aip","VectorSculpting.aip","0,89","2026-07-03","Plug-ins\Extensions\VectorSculpting.aip"
".dll","WRLiloPlugin.dll","0,89","2026-07-03","Support Files\Required\Linguistics\Providers\Plugins2\WRLiloPlugin1.3\WRLiloPlugin.dll"
".dll","substance_linker.dll","0,89","2026-07-03","Support Files\Contents\Windows\substance_linker.dll"
".dll","Sangam.dll","0,87","2026-07-03","Support Files\Contents\Windows\Sangam.dll"
".dll","ScCore.dll","0,85","2026-07-03","Support Files\Contents\Windows\ScCore.dll"
".dll","adobeusd_gf.dll","0,85","2026-07-03","Support Files\Contents\Windows\adobeusd_gf.dll"
".aip","DxfDwgFileFormat.aip","0,85","2026-07-03","Plug-ins\Illustrator Formats\DxfDwgFileFormat.aip"
".aip","GenerateCore.aip","0,83","2026-07-03","Plug-ins\Extensions\GenerateCore.aip"
".dll","uxtech.dll","0,82","2026-07-03","Support Files\Contents\Windows\uxtech.dll"
".dll","ASMDatax230A.dll","0,81","2026-07-03","Support Files\Contents\Windows\ASMDatax230A.dll"
".dll","AXEDOMCore.dll","0,79","2026-07-03","Support Files\Contents\Windows\AXEDOMCore.dll"
".dll","chrome_elf.dll","0,79","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\chrome_elf.dll"
".aip","dBrushTool.aip","0,76","2026-07-03","Plug-ins\Tools\dBrushTool.aip"
".dll","ASMLOPT230A.dll","0,75","2026-07-03","Support Files\Contents\Windows\ASMLOPT230A.dll"
".dll","libssl-3-x64.dll","0,75","2026-07-03","Support Files\Contents\Windows\libssl-3-x64.dll"
".dll","AdobeHunspellPlugin.dll","0,75","2026-07-03","Support Files\Required\Linguistics\Providers\Plugins2\AdobeHunspellPlugin\AdobeHunspellPlugin.dll"
".dll","ZXPSignLib-minimal.dll","0,74","2026-07-03","Support Files\Contents\Windows\ZXPSignLib-minimal.dll"
".aip","Print.aip","0,74","2026-07-03","Plug-ins\Extensions\Print.aip"
".dll","ASMLAW230A.dll","0,74","2026-07-03","Support Files\Contents\Windows\ASMLAW230A.dll"
